광역시도,시군구,날짜,플랫폼,캠페인명,유입채널,기기,OS,브라우저,세션수,사용자수,페이지뷰,평균체류(초),이탈률(%),전환수,광고비(원)
대구,수성구,2023-12-05,KakaoTalk,캠페인_T,SNS광고,태블릿,Windows,Chrome,4730,4003,26341,223,81.4,442,772064
부산,북구,2023-12-06,Naver,캠페인_O,이메일,모바일,Windows,Samsung Internet,2649,1704,5406,299,39.1,125,1608366
대전,서구,2023-12-06,TikTok,캠페인_O,SNS광고,모바일,Windows,Safari,2675,1912,12466,71,78.6,145,1578809
제주,제주시,2023-12-06,TikTok,캠페인_A,검색광고,모바일,Android,Samsung Internet,1318,829,5884,78,83.4,78,1961504
경기,성남시,2023-12-06,YouTube,캠페인_E,SNS광고,모바일,iOS,Edge,1531,1109,4154,20,49.6,68,1890441
부산,사상구,2023-12-07,YouTube,캠페인_R,SNS광고,모바일,Android,Safari,3647,3450,15651,237,36.2,63,664196
제주,서귀포시,2023-12-07,TikTok,캠페인_H,직접접속,모바일,Windows,Chrome,4627,4023,25982,154,82.8,51,398883
제주,제주시,2023-12-07,KakaoTalk,캠페인_S,검색광고,모바일,Android,Safari,3958,3551,17031,64,86.1,289,884841
인천,남동구,2023-12-08,KakaoTalk,캠페인_N,추천링크,태블릿,Windows,Chrome,4052,2806,21190,208,21.5,88,1493647
인천,연수구,2023-12-08,TikTok,캠페인_B,SNS광고,모바일,Android,Safari,2134,1989,3244,168,77.4,219,1471911
서울,서초구,2023-12-09,YouTube,캠페인_G,검색광고,모바일,Windows,Chrome,575,382,2318,60,37.3,15,1278696
대구,북구,2023-12-09,TikTok,캠페인_N,SNS광고,모바일,Windows,Chrome,4970,4590,25703,316,36.2,311,1050189
경기,성남시,2023-12-10,YouTube,캠페인_M,직접접속,모바일,iOS,Chrome,2532,1873,7193,135,68.3,191,1320101
부산,해운대구,2023-12-10,Instagram,캠페인_R,검색광고,모바일,Android,Safari,3855,3626,21721,399,74.5,369,354855
대전,중구,2023-12-10,Facebook,캠페인_A,검색광고,모바일,Android,Safari,479,431,1212,295,42.2,26,351433
부산,수영구,2023-12-11,Naver,캠페인_B,검색광고,모바일,Android,Safari,336,253,1906,335,61.2,29,839280
대구,중구,2023-12-11,Instagram,캠페인_H,검색광고,모바일,Android,Safari,1827,1361,4436,79,69.8,11,847663
광주,서구,2023-12-11,Instagram,캠페인_G,SNS광고,모바일,Android,Chrome,4817,4497,13378,104,56.2,279,1853851
제주,서귀포시,2023-12-11,KakaoTalk,캠페인_R,검색광고,모바일,Windows,Safari,3508,2753,13694,196,47.0,126,1828060
광주,광산구,2023-12-11,Naver,캠페인_H,자연검색,모바일,Windows,Chrome,4195,3062,19679,213,52.6,282,162810
서울,서초구,2023-12-11,TikTok,캠페인_F,자연검색,모바일,Android,Edge,252,177,1035,115,85.2,11,605997
경기,화성시,2023-12-12,Instagram,캠페인_K,검색광고,PC,Android,Safari,1966,1206,6599,113,41.6,143,806445
서울,강남구,2023-12-12,TikTok,캠페인_O,이메일,모바일,Android,Naver앱,1870,1231,7373,152,26.6,34,798413
대전,중구,2023-12-12,Naver,캠페인_I,추천링크,태블릿,Android,Safari,4765,4000,23307,83,45.6,55,443224
서울,강남구,2023-12-12,Facebook,캠페인_L,이메일,모바일,macOS,Samsung Internet,2113,1659,5106,334,75.8,45,916442
부산,사상구,2023-12-13,Instagram,캠페인_H,자연검색,모바일,Android,Safari,4100,3161,14457,46,65.3,349,848983
부산,동래구,2023-12-13,KakaoTalk,캠페인_E,추천링크,모바일,Windows,Chrome,4167,3013,18606,125,47.6,346,28425
대구,북구,2023-12-14,Instagram,캠페인_S,SNS광고,모바일,Android,Samsung Internet,4275,2944,10800,337,15.9,50,1428771
서울,서초구,2023-12-14,KakaoTalk,캠페인_D,검색광고,PC,Windows,Safari,1692,1408,6776,107,52.2,43,1164642
인천,연수구,2023-12-15,Instagram,캠페인_I,SNS광고,모바일,Android,Samsung Internet,4183,2967,15661,83,38.4,218,94919
서울,서초구,2023-12-15,Facebook,캠페인_Q,이메일,모바일,iOS,Samsung Internet,4699,4129,11828,24,26.0,439,73465
대전,유성구,2023-12-15,Instagram,캠페인_G,SNS광고,모바일,Android,Edge,1396,906,7962,122,28.3,34,1482360
서울,종로구,2023-12-15,YouTube,캠페인_A,검색광고,PC,Android,Chrome,4514,3530,24243,155,68.9,270,1466878
인천,부평구,2023-12-15,Instagram,캠페인_M,SNS광고,PC,Android,Chrome,3434,2624,11548,157,25.4,152,519343
경기,고양시,2023-12-15,KakaoTalk,캠페인_S,직접접속,모바일,Android,Chrome,4234,3588,17501,345,48.6,186,776876
부산,북구,2023-12-16,KakaoTalk,캠페인_G,SNS광고,PC,Windows,Naver앱,3559,2353,8921,399,53.4,91,1468988
광주,서구,2023-12-16,TikTok,캠페인_H,SNS광고,모바일,Android,Naver앱,2871,2683,5603,338,32.3,176,480632
광주,북구,2023-12-17,Naver,캠페인_D,직접접속,PC,Windows,Chrome,4668,3112,26167,378,18.3,130,1862334
서울,강남구,2023-12-17,YouTube,캠페인_H,자연검색,모바일,Android,Safari,2705,1741,6437,370,37.8,196,1699347
광주,북구,2023-12-18,KakaoTalk,캠페인_Q,SNS광고,모바일,Android,Samsung Internet,835,716,3302,284,37.1,73,41264
광주,광산구,2023-12-19,Facebook,캠페인_F,SNS광고,모바일,iOS,Chrome,2307,2105,5492,230,35.1,58,226789
대전,중구,2023-12-19,TikTok,캠페인_T,검색광고,PC,Android,Safari,371,312,1450,179,28.0,34,967994
서울,강서구,2023-12-19,Facebook,캠페인_F,자연검색,모바일,iOS,Chrome,501,475,1506,281,24.5,6,1185423
경기,부천시,2023-12-19,Naver,캠페인_G,검색광고,모바일,Android,Naver앱,3155,2311,17422,121,68.7,252,141061
대전,중구,2023-12-21,Instagram,캠페인_H,자연검색,모바일,Windows,Safari,1764,1222,5137,290,30.2,75,1887769
대전,중구,2023-12-22,Facebook,캠페인_D,자연검색,태블릿,macOS,Chrome,2919,1997,5143,387,51.8,100,97908
대구,중구,2023-12-22,Instagram,캠페인_A,직접접속,PC,macOS,Safari,2230,1645,9002,244,45.5,172,461999
제주,제주시,2023-12-23,TikTok,캠페인_O,직접접속,PC,iOS,Safari,2188,1517,11544,348,87.4,44,1172952
제주,서귀포시,2023-12-23,Instagram,캠페인_T,SNS광고,PC,iOS,Chrome,2825,1746,15844,214,75.6,53,207884
서울,강서구,2023-12-23,YouTube,캠페인_G,검색광고,모바일,Windows,Samsung Internet,2289,1483,10532,132,24.1,29,176445
제주,제주시,2023-12-23,TikTok,캠페인_P,직접접속,모바일,iOS,Chrome,4248,3574,24004,87,27.0,381,1941113
부산,사상구,2023-12-23,KakaoTalk,캠페인_I,추천링크,모바일,iOS,Samsung Internet,2886,2666,5617,310,48.7,64,332545
제주,서귀포시,2023-12-25,Instagram,캠페인_D,자연검색,태블릿,iOS,Chrome,3060,2544,7394,379,69.0,295,749170
경기,안산시,2023-12-25,KakaoTalk,캠페인_A,SNS광고,PC,Android,Safari,2588,1868,8541,135,62.6,38,1721116
대전,유성구,2023-12-25,Facebook,캠페인_T,SNS광고,모바일,iOS,Safari,4887,4618,21324,267,78.8,176,247639
서울,송파구,2023-12-26,Facebook,캠페인_K,직접접속,모바일,Android,Chrome,3393,2248,17701,124,45.4,220,642494
대전,중구,2023-12-27,Instagram,캠페인_T,직접접속,태블릿,Android,Chrome,4502,3558,21598,192,19.5,300,1667213
광주,광산구,2023-12-27,TikTok,캠페인_O,검색광고,모바일,Android,Safari,3536,3118,9512,270,31.0,219,107382
인천,서구,2023-12-27,Naver,캠페인_F,SNS광고,태블릿,iOS,Naver앱,400,261,1856,294,44.4,29,661717
서울,강남구,2023-12-27,KakaoTalk,캠페인_R,SNS광고,모바일,iOS,Edge,2761,2025,15761,227,32.7,164,1893055
대구,달서구,2023-12-27,YouTube,캠페인_C,자연검색,모바일,iOS,Edge,1169,838,6992,172,24.0,61,1718180
대전,중구,2023-12-28,TikTok,캠페인_H,이메일,모바일,iOS,Samsung Internet,4515,2859,12358,42,55.1,189,851077
광주,광산구,2023-12-28,KakaoTalk,캠페인_N,SNS광고,모바일,iOS,Chrome,999,871,5697,77,86.1,13,681379
서울,강남구,2023-12-28,TikTok,캠페인_T,SNS광고,모바일,Android,Samsung Internet,2309,1926,6135,263,19.6,31,1078426
대구,수성구,2023-12-29,Naver,캠페인_I,자연검색,태블릿,Windows,Safari,4789,3649,10939,290,87.7,264,1249433
대구,북구,2023-12-29,TikTok,캠페인_R,검색광고,모바일,iOS,Safari,3107,2406,13166,317,26.3,234,813487
광주,서구,2023-12-29,TikTok,캠페인_H,SNS광고,모바일,Android,Samsung Internet,265,186,537,152,21.9,13,1874604
광주,북구,2023-12-29,YouTube,캠페인_M,이메일,모바일,iOS,Safari,4038,2497,15662,99,23.3,153,588754
제주,서귀포시,2023-12-30,YouTube,캠페인_I,SNS광고,모바일,Windows,Edge,675,595,2525,95,34.7,35,478893
광주,북구,2023-12-30,Facebook,캠페인_G,SNS광고,모바일,Android,Safari,1187,736,3034,231,46.5,79,359812
제주,제주시,2023-12-30,YouTube,캠페인_E,추천링크,모바일,Windows,Safari,1333,987,3339,19,60.2,21,359517
부산,동래구,2023-12-30,YouTube,캠페인_R,검색광고,모바일,iOS,Safari,4510,4236,19565,335,79.5,363,999322
광주,광산구,2023-12-31,TikTok,캠페인_N,SNS광고,모바일,Android,Chrome,4127,2572,18696,334,42.3,291,1177659
부산,동래구,2023-12-31,Facebook,캠페인_M,자연검색,모바일,Android,Chrome,4293,3512,13757,260,23.4,377,64557
대전,중구,2023-12-31,TikTok,캠페인_A,직접접속,태블릿,iOS,Chrome,3374,2249,15855,346,79.6,86,939294
광주,광산구,2023-12-31,Naver,캠페인_Q,자연검색,모바일,Android,Samsung Internet,892,565,4183,35,30.7,44,1675966
서울,서초구,2023-12-31,Instagram,캠페인_H,SNS광고,모바일,Android,Samsung Internet,556,334,3035,18,26.3,17,1269633
경기,안산시,2024-01-01,Naver,캠페인_J,SNS광고,PC,Windows,Chrome,2809,1797,11608,290,52.7,204,1329759
광주,광산구,2024-01-01,Instagram,캠페인_C,SNS광고,PC,Android,Chrome,4425,3500,15630,93,51.3,263,1675125
대전,서구,2024-01-01,Naver,캠페인_R,SNS광고,PC,iOS,Samsung Internet,1397,954,7817,110,49.4,78,711835
대전,서구,2024-01-02,KakaoTalk,캠페인_F,SNS광고,모바일,Windows,Chrome,4056,3181,17296,180,37.7,300,705537
인천,서구,2024-01-02,Instagram,캠페인_L,직접접속,모바일,iOS,Chrome,1308,790,6022,177,77.2,77,1826943
경기,용인시,2024-01-02,KakaoTalk,캠페인_N,SNS광고,PC,Android,Safari,2177,1544,6792,147,32.5,88,969537
대전,중구,2024-01-02,YouTube,캠페인_Q,SNS광고,모바일,Android,Safari,3510,3327,7193,246,73.8,126,1291078
인천,남동구,2024-01-02,Instagram,캠페인_B,SNS광고,모바일,iOS,Safari,1904,1739,7000,347,32.2,19,125649
대전,서구,2024-01-02,KakaoTalk,캠페인_P,직접접속,PC,iOS,Chrome,1935,1172,10506,395,39.1,15,1621611
대구,중구,2024-01-02,Naver,캠페인_I,검색광고,모바일,iOS,Safari,2101,1310,10415,357,63.7,71,789445
제주,서귀포시,2024-01-03,Naver,캠페인_B,SNS광고,모바일,iOS,Naver앱,4040,3802,7969,79,30.0,223,682244
서울,강서구,2024-01-03,YouTube,캠페인_G,검색광고,모바일,iOS,Chrome,2131,1557,11361,102,30.3,75,1375530
인천,연수구,2024-01-03,Naver,캠페인_H,SNS광고,PC,macOS,Safari,1200,1053,4744,208,43.2,61,1852152
경기,화성시,2024-01-03,YouTube,캠페인_S,SNS광고,모바일,iOS,Chrome,4236,3589,23364,150,50.2,149,1328674
대전,유성구,2024-01-04,TikTok,캠페인_A,SNS광고,PC,Windows,Safari,3919,3676,7205,130,58.4,97,1233607
부산,해운대구,2024-01-04,TikTok,캠페인_T,추천링크,태블릿,iOS,Chrome,4361,4054,15021,385,22.4,156,732365
서울,송파구,2024-01-04,Facebook,캠페인_S,이메일,태블릿,Android,Safari,1787,1489,3320,206,54.4,105,1919637
인천,부평구,2024-01-05,YouTube,캠페인_M,검색광고,모바일,Android,Naver앱,1408,934,6340,271,55.0,6,502119
경기,용인시,2024-01-05,Instagram,캠페인_P,SNS광고,모바일,iOS,Samsung Internet,4636,3893,18826,358,64.8,142,976063
인천,부평구,2024-01-06,KakaoTalk,캠페인_R,검색광고,PC,Windows,Naver앱,3327,3136,5183,41,86.2,75,1241911
부산,북구,2024-01-06,Naver,캠페인_N,자연검색,모바일,macOS,Chrome,268,186,1368,82,42.9,22,1549166
경기,남양주시,2024-01-07,TikTok,캠페인_A,자연검색,모바일,iOS,Samsung Internet,1680,1012,3262,214,62.8,50,1198574
제주,서귀포시,2024-01-07,Naver,캠페인_K,SNS광고,모바일,iOS,Safari,2776,2517,15538,281,79.9,200,1970226
경기,부천시,2024-01-07,Naver,캠페인_J,SNS광고,모바일,macOS,Chrome,57,49,335,227,73.8,2,935399
제주,서귀포시,2024-01-07,Naver,캠페인_O,자연검색,모바일,macOS,Chrome,3268,2117,16709,85,60.5,45,1035011
제주,제주시,2024-01-08,TikTok,캠페인_O,검색광고,모바일,Windows,Samsung Internet,1433,1233,3215,206,82.7,102,1928288
대전,유성구,2024-01-08,Facebook,캠페인_R,직접접속,PC,Android,Chrome,2367,1943,3559,337,48.3,86,1844450
인천,서구,2024-01-09,Instagram,캠페인_J,검색광고,PC,Windows,Samsung Internet,2530,2210,7230,171,19.4,79,721459
광주,서구,2024-01-09,Instagram,캠페인_J,SNS광고,모바일,iOS,Naver앱,746,642,2069,119,55.6,56,1666793
인천,부평구,2024-01-09,TikTok,캠페인_P,SNS광고,태블릿,Windows,Chrome,4913,2973,24736,324,61.9,45,1907312
제주,제주시,2024-01-09,Naver,캠페인_D,SNS광고,모바일,iOS,Naver앱,1940,1382,5023,213,79.3,150,1495158
서울,마포구,2024-01-09,KakaoTalk,캠페인_E,검색광고,모바일,Android,Samsung Internet,3695,2399,20095,119,77.1,121,1491168
대전,유성구,2024-01-09,TikTok,캠페인_B,SNS광고,모바일,Windows,Naver앱,1141,898,2465,57,50.3,38,755456
광주,서구,2024-01-10,Naver,캠페인_F,검색광고,모바일,iOS,Safari,260,224,882,129,83.9,17,1360808
제주,서귀포시,2024-01-10,Naver,캠페인_B,검색광고,모바일,Windows,Edge,3030,2819,7290,331,83.4,272,1410952
서울,마포구,2024-01-10,YouTube,캠페인_N,검색광고,PC,iOS,Chrome,1694,1259,4840,71,74.1,21,1135318
서울,서초구,2024-01-11,KakaoTalk,캠페인_S,SNS광고,태블릿,iOS,Safari,3771,2500,7332,29,60.3,186,424484
인천,남동구,2024-01-11,Naver,캠페인_M,검색광고,PC,Android,Chrome,3072,2713,13739,106,37.0,94,1269793
대구,중구,2024-01-11,Naver,캠페인_S,SNS광고,모바일,Android,Safari,1671,1338,10017,119,41.6,39,1764327
경기,부천시,2024-01-12,YouTube,캠페인_A,SNS광고,모바일,macOS,Chrome,626,478,2798,246,78.7,47,1968635
제주,제주시,2024-01-12,KakaoTalk,캠페인_H,추천링크,모바일,Android,Edge,938,660,5260,22,32.9,47,1431560
광주,광산구,2024-01-12,Facebook,캠페인_Q,직접접속,모바일,Android,Edge,1123,901,1810,26,75.3,50,1083704
대전,유성구,2024-01-12,Instagram,캠페인_R,검색광고,PC,iOS,Chrome,1042,832,2342,104,66.2,67,1404707
제주,서귀포시,2024-01-13,Facebook,캠페인_C,검색광고,PC,Windows,Samsung Internet,3466,2680,20540,324,57.0,281,1067945
서울,종로구,2024-01-13,YouTube,캠페인_R,SNS광고,모바일,Windows,Safari,93,66,362,288,65.4,2,1098745
부산,사상구,2024-01-13,TikTok,캠페인_B,검색광고,PC,Android,Chrome,3991,2752,13734,151,15.5,242,154344
서울,영등포구,2024-01-13,Naver,캠페인_S,직접접속,모바일,Android,Chrome,654,448,2015,121,43.0,12,1851557
대전,유성구,2024-01-13,Facebook,캠페인_O,SNS광고,모바일,Windows,Safari,3065,2863,13829,236,81.0,296,1706927
광주,광산구,2024-01-14,YouTube,캠페인_A,검색광고,PC,Windows,Safari,3978,2575,11910,273,20.5,14,396203
제주,제주시,2024-01-14,TikTok,캠페인_G,SNS광고,모바일,Windows,Naver앱,3256,2618,6929,324,41.3,277,1288567
광주,북구,2024-01-14,Instagram,캠페인_T,자연검색,태블릿,Android,Safari,334,266,569,102,79.9,10,1160018
대전,서구,2024-01-14,KakaoTalk,캠페인_J,SNS광고,태블릿,Android,Chrome,687,498,2324,268,55.8,39,1362478
제주,서귀포시,2024-01-14,KakaoTalk,캠페인_C,검색광고,PC,iOS,Samsung Internet,4471,3214,20187,113,42.9,124,817885
경기,성남시,2024-01-14,Instagram,캠페인_A,이메일,모바일,Android,Edge,3511,2437,16074,215,81.5,283,671067
대전,유성구,2024-01-15,Instagram,캠페인_T,검색광고,PC,Windows,Safari,2103,1906,12015,387,70.0,53,1842830
서울,종로구,2024-01-16,Naver,캠페인_I,검색광고,모바일,Android,Edge,3361,3047,15883,218,34.9,114,1530964
인천,서구,2024-01-16,YouTube,캠페인_K,이메일,모바일,Windows,Safari,3298,2691,13085,224,51.9,241,1844935
경기,안산시,2024-01-16,Facebook,캠페인_I,이메일,PC,Windows,Chrome,2980,2572,8859,371,70.3,269,1918665
광주,광산구,2024-01-16,Instagram,캠페인_S,SNS광고,태블릿,macOS,Samsung Internet,4821,4144,11688,90,86.7,463,1678389
인천,연수구,2024-01-16,Instagram,캠페인_S,자연검색,모바일,Android,Chrome,1307,785,7825,86,24.6,74,531683
서울,강서구,2024-01-16,Naver,캠페인_M,SNS광고,모바일,macOS,Chrome,853,726,3559,223,49.9,57,1966689
경기,수원시,2024-01-17,YouTube,캠페인_E,자연검색,모바일,iOS,Safari,934,585,4081,368,72.3,24,782564
부산,동래구,2024-01-17,Naver,캠페인_I,검색광고,모바일,Windows,Safari,2116,1939,8330,204,85.4,153,1636607
경기,부천시,2024-01-18,Instagram,캠페인_K,자연검색,PC,iOS,Safari,3803,2915,8166,375,71.4,114,732967
경기,성남시,2024-01-18,TikTok,캠페인_K,자연검색,모바일,Android,Samsung Internet,3080,2773,7852,355,74.0,252,1507335
부산,사상구,2024-01-18,Facebook,캠페인_H,자연검색,모바일,Android,Safari,906,667,2001,207,24.9,72,1893637
광주,서구,2024-01-19,TikTok,캠페인_Q,자연검색,모바일,Android,Edge,418,283,1787,25,37.1,7,513313
부산,해운대구,2024-01-20,KakaoTalk,캠페인_F,자연검색,모바일,Android,Samsung Internet,778,529,1480,395,34.7,16,1749170
광주,광산구,2024-01-21,KakaoTalk,캠페인_C,검색광고,모바일,Windows,Chrome,1200,1135,2868,204,28.0,135,1373291
경기,화성시,2024-01-21,Naver,캠페인_I,SNS광고,PC,Android,Safari,4656,3994,16604,91,52.0,433,857112
제주,제주시,2024-01-21,Naver,캠페인_R,SNS광고,모바일,iOS,Safari,1059,710,4142,227,62.6,24,1323223
대구,북구,2024-01-22,KakaoTalk,캠페인_P,SNS광고,PC,iOS,Samsung Internet,68,56,130,241,83.8,4,1018516
제주,제주시,2024-01-22,Facebook,캠페인_J,이메일,모바일,Android,Samsung Internet,1087,901,5070,189,30.2,55,1637623
광주,북구,2024-01-23,Naver,캠페인_Q,추천링크,모바일,iOS,Chrome,4476,3467,10254,91,66.3,272,244896
서울,마포구,2024-01-23,Naver,캠페인_A,직접접속,태블릿,Android,Edge,2452,1639,7754,20,43.8,51,868187
대전,유성구,2024-01-23,TikTok,캠페인_O,검색광고,태블릿,Windows,Chrome,999,942,3353,296,34.8,95,1378496
경기,성남시,2024-01-23,Instagram,캠페인_B,직접접속,PC,Android,Safari,149,115,399,320,15.9,7,1224772
서울,강서구,2024-01-23,TikTok,캠페인_B,검색광고,모바일,Windows,Chrome,858,703,4034,335,19.4,38,398535
제주,제주시,2024-01-23,KakaoTalk,캠페인_H,SNS광고,모바일,Android,Samsung Internet,1296,1100,3988,354,32.1,116,1889772
광주,서구,2024-01-24,Instagram,캠페인_O,검색광고,모바일,iOS,Edge,1643,1486,9229,51,19.5,18,1220994
광주,서구,2024-01-24,TikTok,캠페인_K,검색광고,모바일,iOS,Safari,282,187,1686,288,51.4,11,793184
제주,제주시,2024-01-24,KakaoTalk,캠페인_S,검색광고,모바일,iOS,Chrome,3201,2767,16805,269,76.0,86,1656635
대전,유성구,2024-01-24,YouTube,캠페인_M,SNS광고,태블릿,iOS,Chrome,814,662,2123,161,82.1,78,845885
광주,북구,2024-01-25,TikTok,캠페인_E,SNS광고,PC,iOS,Chrome,3748,2602,6412,159,83.6,68,621030
대구,수성구,2024-01-25,Instagram,캠페인_F,자연검색,모바일,macOS,Safari,4345,2879,22033,44,22.0,230,238743
제주,제주시,2024-01-26,TikTok,캠페인_S,SNS광고,모바일,iOS,Safari,1438,1135,8337,281,17.0,122,1381072
대구,달서구,2024-01-26,Facebook,캠페인_E,직접접속,모바일,iOS,Naver앱,1624,1371,3913,11,53.9,145,666394
서울,노원구,2024-01-26,Naver,캠페인_L,SNS광고,모바일,Windows,Safari,1489,1237,3082,374,39.2,37,606167
부산,해운대구,2024-01-26,Facebook,캠페인_O,SNS광고,모바일,iOS,Chrome,4167,3054,22837,263,78.6,348,1317683
광주,서구,2024-01-26,YouTube,캠페인_F,SNS광고,모바일,Android,Chrome,1195,816,6144,262,43.6,17,1294594
대전,중구,2024-01-26,Facebook,캠페인_M,검색광고,PC,iOS,Safari,3141,2702,15884,345,39.3,157,177892
제주,제주시,2024-01-27,KakaoTalk,캠페인_O,검색광고,모바일,iOS,Safari,4045,2864,17393,132,46.9,171,1276553
광주,북구,2024-01-28,KakaoTalk,캠페인_F,SNS광고,PC,Android,Chrome,2230,1593,6450,381,62.2,96,1059839
부산,동래구,2024-01-28,KakaoTalk,캠페인_I,검색광고,PC,Android,Chrome,3437,2189,6545,60,75.8,135,1069485
대구,달서구,2024-01-28,KakaoTalk,캠페인_A,SNS광고,모바일,iOS,Safari,3600,3148,17724,109,46.9,72,311646
제주,제주시,2024-01-29,Instagram,캠페인_D,이메일,모바일,Windows,Samsung Internet,238,166,389,279,62.5,4,1311635
광주,북구,2024-01-30,Facebook,캠페인_G,SNS광고,PC,iOS,Safari,3609,2928,21481,178,65.1,171,789091
광주,북구,2024-01-30,YouTube,캠페인_Q,추천링크,모바일,macOS,Chrome,845,678,2054,10,60.8,17,1486197
제주,서귀포시,2024-01-31,TikTok,캠페인_R,SNS광고,모바일,iOS,Samsung Internet,2195,1800,6417,194,52.6,76,1888606
서울,강서구,2024-01-31,KakaoTalk,캠페인_B,자연검색,모바일,macOS,Samsung Internet,2281,1612,9507,281,51.0,136,580076
대전,중구,2024-02-01,Facebook,캠페인_F,SNS광고,모바일,macOS,Samsung Internet,2512,2004,14861,273,82.1,230,1045171
부산,사상구,2024-02-01,TikTok,캠페인_L,검색광고,모바일,Windows,Chrome,3270,2557,11877,12,69.1,105,162372
부산,수영구,2024-02-01,Instagram,캠페인_Q,SNS광고,모바일,macOS,Safari,4130,2940,7042,204,25.9,289,1896518
서울,노원구,2024-02-02,KakaoTalk,캠페인_K,검색광고,PC,Android,Chrome,4152,2522,7824,397,80.2,245,1036294
광주,광산구,2024-02-02,Facebook,캠페인_E,직접접속,PC,Android,Chrome,3856,2624,12068,206,75.1,207,245968
대전,유성구,2024-02-02,TikTok,캠페인_P,SNS광고,모바일,iOS,Chrome,4029,2673,23404,133,23.9,201,238842
제주,서귀포시,2024-02-03,Facebook,캠페인_S,직접접속,모바일,Android,Chrome,1191,1088,6576,242,15.7,95,1084818
인천,연수구,2024-02-04,Instagram,캠페인_E,SNS광고,모바일,Windows,Samsung Internet,433,395,825,140,42.8,35,1549955
대전,유성구,2024-02-04,Facebook,캠페인_K,검색광고,모바일,Windows,Edge,485,310,1862,272,59.0,23,465541
대구,북구,2024-02-04,KakaoTalk,캠페인_C,직접접속,태블릿,iOS,Chrome,2093,1939,6042,125,26.0,198,1094713
인천,서구,2024-02-05,KakaoTalk,캠페인_F,자연검색,PC,Android,Samsung Internet,3266,2151,14874,358,49.7,157,67389
대전,유성구,2024-02-05,Instagram,캠페인_Q,추천링크,모바일,iOS,Chrome,3499,2481,17047,11,66.2,47,1083506
대전,중구,2024-02-05,KakaoTalk,캠페인_F,SNS광고,모바일,Android,Chrome,1833,1348,7494,192,42.7,90,36054
대전,중구,2024-02-05,Facebook,캠페인_F,SNS광고,PC,Android,Chrome,4784,4100,12267,343,33.2,262,1463790
부산,사상구,2024-02-05,YouTube,캠페인_B,자연검색,PC,iOS,Safari,4458,4003,24156,272,21.9,24,238787
부산,수영구,2024-02-05,Instagram,캠페인_J,검색광고,모바일,iOS,Chrome,1439,1351,8014,132,85.4,139,541506
서울,마포구,2024-02-05,Naver,캠페인_P,검색광고,태블릿,iOS,Samsung Internet,895,809,4593,237,50.2,75,695797
광주,북구,2024-02-05,Naver,캠페인_B,SNS광고,PC,iOS,Chrome,1349,1023,2126,88,60.8,59,746206
부산,수영구,2024-02-06,YouTube,캠페인_S,이메일,모바일,Android,Chrome,4652,3707,12358,57,72.5,203,771101
광주,광산구,2024-02-07,Instagram,캠페인_P,SNS광고,모바일,Android,Chrome,870,588,4185,101,47.0,12,626918
인천,남동구,2024-02-07,KakaoTalk,캠페인_N,SNS광고,모바일,Android,Safari,4249,3598,19370,62,85.7,189,835172
광주,광산구,2024-02-07,KakaoTalk,캠페인_K,검색광고,모바일,iOS,Chrome,3289,2692,16182,114,52.9,188,693905
경기,성남시,2024-02-07,Facebook,캠페인_M,추천링크,모바일,Windows,Chrome,3623,3169,18241,85,54.6,199,737546
부산,동래구,2024-02-08,YouTube,캠페인_B,SNS광고,모바일,iOS,Safari,2533,1814,7845,379,21.7,73,1847121
대전,유성구,2024-02-08,Facebook,캠페인_R,SNS광고,PC,iOS,Safari,284,206,1554,37,83.0,15,1987340
대구,달서구,2024-02-08,KakaoTalk,캠페인_L,검색광고,PC,Android,Chrome,3057,2596,11308,152,49.4,112,1887849
서울,마포구,2024-02-09,TikTok,캠페인_J,SNS광고,모바일,Android,Safari,2057,1686,8686,193,35.8,146,363368
제주,서귀포시,2024-02-10,Naver,캠페인_M,SNS광고,PC,Android,Chrome,2948,2045,8247,330,43.8,231,1802028
인천,서구,2024-02-10,YouTube,캠페인_P,SNS광고,모바일,Android,Edge,2589,1968,11952,360,15.1,140,118843
대구,중구,2024-02-11,YouTube,캠페인_H,검색광고,모바일,Android,Samsung Internet,4853,3737,18684,355,56.7,44,1469260
인천,남동구,2024-02-11,YouTube,캠페인_M,자연검색,모바일,iOS,Chrome,2309,1531,4923,269,32.6,79,442225
부산,북구,2024-02-12,Facebook,캠페인_I,검색광고,모바일,Android,Samsung Internet,1138,927,4482,336,43.8,90,1231863
대전,중구,2024-02-12,Facebook,캠페인_L,검색광고,PC,Windows,Chrome,609,529,2723,137,25.3,46,817984
서울,강서구,2024-02-12,Instagram,캠페인_F,검색광고,모바일,iOS,Samsung Internet,4316,3891,18966,43,29.6,451,369423
대구,수성구,2024-02-12,KakaoTalk,캠페인_T,이메일,PC,Android,Safari,2286,1818,6225,354,55.6,146,367802
제주,제주시,2024-02-13,TikTok,캠페인_J,SNS광고,모바일,Windows,Chrome,2961,2330,13906,192,38.0,218,1806319
서울,노원구,2024-02-13,Instagram,캠페인_M,SNS광고,PC,iOS,Safari,104,95,165,16,84.3,6,1849395
경기,부천시,2024-02-13,YouTube,캠페인_T,SNS광고,PC,Android,Edge,3170,2800,6266,320,70.0,282,181574
서울,종로구,2024-02-14,Facebook,캠페인_S,SNS광고,모바일,iOS,Edge,3640,3101,8200,10,48.1,113,1244517
